,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,event_ID,event_CLEANED,elo_rating,seen,instability,Health,Financial,Relationship,Bereavement,Work,Crime,Daily,Major
25,25,25,25,25,25,25,25,25,25,30,31,I severely hurt my ankle,902,0,0,0,0,0,0,0,0,0,0
26,26,26,26,26,26,26,26,26,26,31,32,"So it’s not something happening today, but I do a work based degree and I have a maths exam coming up next Monday so I’m trying to revise",982,1,0,0,0,0,0,0,0,0,0
27,27,27,27,27,27,27,27,27,27,32,33,I found out i didn't get a promotion I was hoping for.,947,0,0,0,0,0,0,0,0,0,0
28,28,28,28,28,28,28,28,28,28,33,34,I was on a holiday in France.,1050,0,0,0,0,0,0,0,0,0,0
29,29,29,29,29,29,29,29,29,29,34,35,A conversation with my partner in which we expressed issues communicating due to ongoing pressures in each of our workplaces.,922,0,0,0,0,0,0,0,0,0,0
30,30,30,30,30,30,30,30,30,30,35,36,Family tension,922,0,0,0,0,0,0,0,0,0,0
31,31,31,31,31,31,31,31,31,31,36,37,An appointment with the dentist,940,1,0,0,0,0,0,0,0,0,0
32,32,32,32,32,32,32,32,32,32,37,38,Had a really nice conversation with a friend where I felt very close to them and mutually affectionate,1125,0,0,0,0,0,0,0,0,0,0
33,33,33,33,33,33,33,33,33,33,39,40,break up with my partner,861,1,0,0,0,0,0,0,0,0,0
34,34,34,34,34,34,34,34,34,34,40,41,"Me, my baby and my mother all caught a flu and are taking a long time to recover",987,1,0,0,0,0,0,0,0,0,0
35,35,35,35,35,35,35,35,35,35,41,42,I got my mortgage approved and bought a flat in my area,1074,1,0,0,0,0,0,0,0,0,0
36,36,36,36,36,36,36,36,36,36,42,43,"I have been waiting on this job to be posted so I can apply and then apply to uni, only to find out the manager will go on holiday for 1 week.",975,0,0,0,0,0,0,0,0,0,0
37,37,37,37,37,37,37,37,37,37,43,44,I was sexually assaulted by an unknown man at a night club when I was dancing with my friends. ,884,2,0,0,0,0,0,0,0,0,0
38,38,38,38,38,38,38,38,38,38,44,45,The fact that my ex partner basically told me I had to start paying my way for things and everything despite hardly seeing the kids,930,0,0,0,0,0,0,0,0,0,0
39,39,39,39,39,39,39,39,39,39,45,46,Verbal Abuse,950,0,0,0,0,0,0,0,0,0,0
40,40,40,40,40,40,40,40,40,40,46,47,"I quit my job with 1 week notice, and interviewed for a job on a totally new career path, which I was successful at. It has made me feel very restless recently and today.",1036,2,0,0,0,0,0,0,0,0,0
41,41,41,41,41,41,41,41,41,41,47,48,"I have an exam which is making me anxious and I've had exams all week long. Alongside that, my partner and I got into an argument a couple of days ago that is still affecting my mood now.",950,0,0,0,0,0,0,0,0,0,0
42,42,42,42,42,42,42,42,42,42,48,49,not getting results on a body contouring experience and seem to be the only one it doesn't work for,912,1,0,0,0,0,0,0,0,0,0
43,43,43,43,43,43,43,43,43,43,49,50,I recently completed an AWS certification that I have been putting off for over a year now and I passed. I'm overjoyed and buzzing with so much energy. I am also optimistic about the other professional courses I have for the year. ,1070,0,0,0,0,0,0,0,0,0,0
44,44,44,44,44,44,44,44,44,44,50,51,My neighbour has woken me up with drilling at 8am,962,0,0,0,0,0,0,0,0,0,0
45,45,45,45,45,45,45,45,45,45,51,52,The bitcoin little pump.,1125,0,0,0,0,0,0,0,0,0,0
46,46,46,46,46,46,46,46,46,46,52,53,im cool at the moment,1032,0,0,0,0,0,0,0,0,0,0
47,47,47,47,47,47,47,47,47,47,53,54,I was on a course retraining for another career when we were suddenly told we were being placed on hold for 6 months after spending over a year on the programme already. It was a big shock,917,2,0,0,0,0,0,0,0,0,0
48,48,48,48,48,48,48,48,48,48,54,55,I applied for a job a week ago and I was told I would start the work today.,1109,1,0,0,0,0,0,0,0,0,0
49,49,49,49,49,49,49,49,49,49,55,56,Dog has taken ill and we may have to put her down,975,0,0,0,0,0,0,0,0,0,0
50,50,50,50,50,50,50,50,50,50,56,57,"My Step-dad drowned a few months ago, leaving my family in pieces.",875,0,0,0,0,0,0,0,0,0,0
51,51,51,51,51,51,51,51,51,51,59,60,This weather - we have scaffolding up and are waiting for the roof to be fixed. it's been delayed for the second time now. It's pissing me off.,935,0,0,0,0,0,0,0,0,0,0
52,52,52,52,52,52,52,52,52,52,60,61,Our house extension was suppose to be finished however it wasn't and it has pushed us back.,920,0,0,0,0,0,0,0,0,0,0
53,53,53,53,53,53,53,53,53,53,61,62,The water pipes are blocked and sewage is coming up in the kitchen sink.,927,0,0,0,0,0,0,0,0,0,0
54,54,54,54,54,54,54,54,54,54,62,63,I had a remortgage meeting on Friday and I'm getting a call back today about it and it's making me very anxious,943,1,0,0,0,0,0,0,0,0,0
55,55,55,55,55,55,55,55,55,55,63,64,"my best friend visited me yesterday, i was so glad to see her after how many years",1099,2,0,0,0,0,0,0,0,0,0
56,56,56,56,56,56,56,56,56,56,64,65,I got a new gaming system for my Girlfriend  ,1050,0,0,0,0,0,0,0,0,0,0
57,57,57,57,57,57,57,57,57,57,66,67,I began the process of reporting the mistreatment of my grandad and began fully advocating for him,950,0,0,0,0,0,0,0,0,0,0
58,58,58,58,58,58,58,58,58,58,67,68,It was the anniversary of my father passing away ,875,0,0,0,0,0,0,0,0,0,0
59,59,59,59,59,59,59,59,59,59,68,69,I missed my interview today,912,0,0,0,0,0,0,0,0,0,0
60,60,60,60,60,60,60,60,60,60,69,70,money problems,886,1,0,0,0,0,0,0,0,0,0
61,61,61,61,61,61,61,61,61,61,70,71,I have rebound congestion from using too much nose spray and it is quite uncomfortable for me,950,0,0,0,0,0,0,0,0,0,0
62,62,62,62,62,62,62,62,62,62,72,73,I woke up this morning around 7am with the worst pain and thought I would have to go to the emergency room,955,1,0,0,0,0,0,0,0,0,0
63,63,63,63,63,63,63,63,63,63,77,78,Relationship ended,922,1,0,0,0,0,0,0,0,0,0
64,64,64,64,64,64,64,64,64,64,78,79,"I have multiple chronic conditions that mean I sometimes need to go to hospital for IV fluids. I had met the threshold to go in so went via the GP and ended up at an acute section of the hospital stayed there for 8 hours to be denied care as I wasn't acutely ill, even though the GP and others thought I needed fluids and anti-emetics via an IV. ",875,0,0,0,0,0,0,0,0,0,0
65,65,65,65,65,65,65,65,65,65,80,81,new regulations regarding UK visa - worrying about my future,875,0,0,0,0,0,0,0,0,0,0
66,66,66,66,66,66,66,66,66,66,81,82,lost my AirPods,957,1,0,0,0,0,0,0,0,0,0
67,67,67,67,67,67,67,67,67,67,82,83,My stationary car was parked up and involved in a hit and run incident,875,0,0,0,0,0,0,0,0,0,0
68,68,68,68,68,68,68,68,68,68,83,84,developing tension headaches ,925,0,0,0,0,0,0,0,0,0,0
69,69,69,69,69,69,69,69,69,69,84,85,Job loss after two years there alongside other causes of financial strain ,915,0,0,0,0,0,0,0,0,0,0
70,70,70,70,70,70,70,70,70,70,85,86,ended relationship,917,0,0,0,0,0,0,0,0,0,0
71,71,71,71,71,71,71,71,71,71,86,87,Just had a driving lesson that went better than expected,1066,1,0,0,0,0,0,0,0,0,0
72,72,72,72,72,72,72,72,72,72,87,88,Loss of family member,884,1,0,0,0,0,0,0,0,0,0
73,73,73,73,73,73,73,73,73,73,88,89,having a 5 month old and adjusting to life with a baby,1037,0,0,0,0,0,0,0,0,0,0
74,74,74,74,74,74,74,74,74,74,90,91,Finished my Exams,1092,0,0,0,0,0,0,0,0,0,0
75,75,75,75,75,75,75,75,75,75,91,92,I had an offer accepted on my first home,1068,1,0,0,0,0,0,0,0,0,0
76,76,76,76,76,76,76,76,76,76,92,93,"I was told i would have to take a trip for work, which includes traveling across the world on my own, something that i get very anxious about",897,0,0,0,0,0,0,0,0,0,0
77,77,77,77,77,77,77,77,77,77,93,94,I realised I am quite alone ,940,1,0,0,0,0,0,0,0,0,0
78,78,78,78,78,78,78,78,78,78,94,95,Nearly crashed my car,1058,1,0,0,0,0,0,0,0,0,0
79,79,79,79,79,79,79,79,79,79,95,96,I got accepted for a credit card to help rebuild my credit score.,1141,1,0,0,0,0,0,0,0,0,0
80,80,80,80,80,80,80,80,80,80,96,97,2 family members suddenly passed away very close to each other,875,0,0,0,0,0,0,0,0,0,0
81,81,81,81,81,81,81,81,81,81,97,98,I felt bad before now because i was unable to pick any other Prolific studies today.,1141,1,0,0,0,0,0,0,0,0,0
82,82,82,82,82,82,82,82,82,82,98,99,My cat was put down after a series of illnesses - caring for him was stressful but I feel so guilty that he had to be put down,877,0,0,0,0,0,0,0,0,0,0
83,83,83,83,83,83,83,83,83,83,101,102,"lots of things; relationship issues, debt, upcoming assignments, letting parents down, money",922,0,0,0,0,0,0,0,0,0,0
84,84,84,84,84,84,84,84,84,84,102,103,I lost a friend.,875,0,0,0,0,0,0,0,0,0,0
85,85,85,85,85,85,85,85,85,85,103,104,I have a very stressful hospital appointment that's due to take place tomorrow afternoon and my anxiety about this appointment is steadily rising as I don't know what the outcome is going to be.,973,1,0,0,0,0,0,0,0,0,0
86,86,86,86,86,86,86,86,86,86,104,105,Several job rejections that I had pinned my hopes on for a very long time. But I do my best and I keep going,859,2,0,0,0,0,0,0,0,0,0
87,87,87,87,87,87,87,87,87,87,105,106,"I work in a supermarket and I tipped a pallet over with a lot of tins and sauces on, which caused a large spillage. It wasn't an overly negative experience, and my colleagues really made me feel at ease after it happened, but since I've felt a bit on edge regarding my work.",1027,0,0,0,0,0,0,0,0,0,0
88,88,88,88,88,88,88,88,88,88,106,107,My dog was briefly ill and then died,935,0,0,0,0,0,0,0,0,0,0
89,89,89,89,89,89,89,89,89,89,107,108,I got a new laptop from my brother.,1122,0,0,0,0,0,0,0,0,0,0
90,90,90,90,90,90,90,90,90,90,108,109,The task of submitting my journals to my supervisor and the fact that I cant graduate if I don't meet up with the time frame which is close,892,0,0,0,0,0,0,0,0,0,0
91,91,91,91,91,91,91,91,91,91,111,112,"I was playing a game called 'Kingdom Hearts 3' whilst my best friend watched. As I was doing a fight, it had a section where other players of the game come to help you, and it reminded me of another game that I love too which had something similar. It gave me a sense of familiarity and made me feel warm.",1019,1,0,0,0,0,0,0,0,0,0
92,92,92,92,92,92,92,92,92,92,112,113,Searching for a job ,947,0,0,0,0,0,0,0,0,0,0
93,93,93,93,93,93,93,93,93,93,113,114,I had to leave my flat to return to my parents because of a health issue,883,2,0,0,0,0,0,0,0,0,0
94,94,94,94,94,94,94,94,94,94,114,115,I have had a disagreement with my manager at work regarding how I process information and react to situations,910,0,0,0,0,0,0,0,0,0,0
95,95,95,95,95,95,95,95,95,95,115,116,I have had a social media account compromised and disabled leading me to lose over 15 years of data.,967,1,0,0,0,0,0,0,0,0,0
96,96,96,96,96,96,96,96,96,96,117,118,Outcome of a bullying complaint I submitted at work against another.,912,0,0,0,0,0,0,0,0,0,0
97,97,97,97,97,97,97,97,97,97,118,119,"Just had a nice conversation with my mother, had a cold glass of water and watching a show and feeling more productive. Overall nice, non-isolated morning.",1045,0,0,0,0,0,0,0,0,0,0
98,98,98,98,98,98,98,98,98,98,120,121,"Trying to get an issue sorted through the doctors, had a test and waiting for a callback to understand the results and next steps.",920,0,0,0,0,0,0,0,0,0,0
99,99,99,99,99,99,99,99,99,99,122,123,Family member with dementia is now on end of life care,942,0,0,0,0,0,0,0,0,0,0
100,100,100,100,100,100,100,100,100,100,123,124,My dissertation is almost due for my university degree and I still have a lot of reading and writing to do before it is finished. ,978,1,0,0,0,0,0,0,0,0,0
101,101,101,101,101,101,101,101,101,101,124,125,I had an argument with a close friend about my habits and I felt like my opinions were not considered.,972,0,0,0,0,0,0,0,0,0,0
102,102,102,102,102,102,102,102,102,102,125,126,"I have been looking after a dog, and the dog had to go to emergency vet yesterday",891,1,0,0,0,0,0,0,0,0,0
103,103,103,103,103,103,103,103,103,103,126,127,Death of my grandmother,947,0,0,0,0,0,0,0,0,0,0
104,104,104,104,104,104,104,104,104,104,128,129,"I had a university exam yesterday, which decides whether or not I can continue at university as I'm on leave. ",910,0,0,0,0,0,0,0,0,0,0
105,105,105,105,105,105,105,105,105,105,129,130,Having to pay rent and asking for an extended deadline for it as I am currently struggling financially,927,0,0,0,0,0,0,0,0,0,0
106,106,106,106,106,106,106,106,106,106,130,131,Currently house hunting and have been told that we are unable to purchase the house we have been looking at,976,1,0,0,0,0,0,0,0,0,0
107,107,107,107,107,107,107,107,107,107,131,132,My son being in nursery and having a seizure ,990,0,0,0,0,0,0,0,0,0,0
108,108,108,108,108,108,108,108,108,108,133,134,i have several deadlines for university and have been having communication issues with my partner,952,0,0,0,0,0,0,0,0,0,0
109,109,109,109,109,109,109,109,109,109,135,136,"I have been unemployed for a few months now, and I am struggling to find a job with ok salary. I have had no luck until now and I am getting many rejection emails from employer/recruiter without providing me with feedback",895,1,0,0,0,0,0,0,0,0,0
110,110,110,110,110,110,110,110,110,110,136,137,I was planning a trip to my nearest city and found out all the bus stops and routes had been changed so I needed to learn all the new stops and times ,962,0,0,0,0,0,0,0,0,0,0
111,111,111,111,111,111,111,111,111,111,137,138,"We are currently expecting our first baby and found out yesterday that he is not breech like suspected, so we can continue with a natural birth. This is both positive and daunting at the same time as we dont have long to prepare!",1031,1,0,0,0,0,0,0,0,0,0
112,112,112,112,112,112,112,112,112,112,138,139,I have just been accepted for a new role within my company. I was nervous to find the outcome but am ecstatic at the response and Job offer,1109,1,0,0,0,0,0,0,0,0,0
113,113,113,113,113,113,113,113,113,113,139,140,I have just been told I am getting some work which will bring some money in after I have had a shopping spree (from being stressed). This means I can earn back some money ,1095,0,0,0,0,0,0,0,0,0,0
114,114,114,114,114,114,114,114,114,114,140,141,New job start date delayed by 2 weeks so have not been working and finding it difficult not having any purpose.,965,2,0,0,0,0,0,0,0,0,0
115,115,115,115,115,115,115,115,115,115,141,142,Rent was raised a significant amount and feel bad that I cant help my parents pay for it at the moment,940,1,0,0,0,0,0,0,0,0,0
116,116,116,116,116,116,116,116,116,116,142,143,my mum is going into hospital to find out if the bleed on her brain is spred and therefore fatal,891,1,0,0,0,0,0,0,0,0,0
117,117,117,117,117,117,117,117,117,117,143,144,Going through a really rough patch with my partner and a depressive episode,890,0,0,0,0,0,0,0,0,0,0
118,118,118,118,118,118,118,118,118,118,144,145,"Was anxious about getting a new car, but found out today it's all going through as planned",1050,0,0,0,0,0,0,0,0,0,0
119,119,119,119,119,119,119,119,119,119,146,147,When I was called to perform as a front chair violinist in an orchestral ,1055,0,0,0,0,0,0,0,0,0,0
120,120,120,120,120,120,120,120,120,120,147,148,"My grandma passed away (in Portugal), and I've just come back to the uk having left my mom now alone back home",859,1,0,0,0,0,0,0,0,0,0
121,121,121,121,121,121,121,121,121,121,148,149,let someone down. they were given incorrect information and today i told them the information was wrong and it's upset them,949,3,0,0,0,0,0,0,0,0,0
122,122,122,122,122,122,122,122,122,122,150,151,Sexual harassment claim at work and the guy was not found to have done wrong even though the case was up held,875,0,0,0,0,0,0,0,0,0,0
123,123,123,123,123,123,123,123,123,123,151,152,job interview which went quite well,1067,0,0,0,0,0,0,0,0,0,0
124,124,124,124,124,124,124,124,124,124,152,153,"Sudden problem with the flat, if I don't solve the situation in 1 month, I will have to move out",918,2,0,0,0,0,0,0,0,0,0
125,125,125,125,125,125,125,125,125,125,153,154,My birthday,982,0,0,0,0,0,0,0,0,0,0
126,126,126,126,126,126,126,126,126,126,154,155,Moving house and dealing with the stress of packing,859,1,0,0,0,0,0,0,0,0,0
127,127,127,127,127,127,127,127,127,127,157,158,The genocide in Gaza,916,3,0,0,0,0,0,0,0,0,0
128,128,128,128,128,128,128,128,128,128,158,159,finished my last uni exam after 2 weeks of a lot of revision,1052,0,0,0,0,0,0,0,0,0,0
129,129,129,129,129,129,129,129,129,129,159,160,Got a good grade on an assignment I thought went badly,1072,0,0,0,0,0,0,0,0,0,0
130,130,130,130,130,130,130,130,130,130,161,162,I went on my first ever first date which I was very nervous for. It went well on the day but now I'm overthinking whether I want to continue seeing this person or not.,936,1,0,0,0,0,0,0,0,0,0
131,131,131,131,131,131,131,131,131,131,162,163,I got a second stage interview for a job I am keen on going for.,1141,1,0,0,0,0,0,0,0,0,0
132,132,132,132,132,132,132,132,132,132,163,164,Had a car engine problem at the middle of a highway and I'm currently feeling unwell,892,0,0,0,0,0,0,0,0,0,0
133,133,133,133,133,133,133,133,133,133,164,165,My best friend got a job promotion and called me to say so.,1074,2,0,0,0,0,0,0,0,0,0
134,134,134,134,134,134,134,134,134,134,166,167,"Living situation compromised with guests, for whom I have no care for staying in the same house. Soon they will leave but they have been here longer than they should have.",902,0,0,0,0,0,0,0,0,0,0
135,135,135,135,135,135,135,135,135,135,167,168,"Positive changes in my life coming into effect, like work, money, creative projects",1112,1,0,0,0,0,0,0,0,0,0
136,136,136,136,136,136,136,136,136,136,168,169,"At work as a social worker we have to help people move on, so not in job description I cleared a house - very hard .",1055,2,0,0,0,0,0,0,0,0,0
137,137,137,137,137,137,137,137,137,137,169,170,Going on a night out and drinking.,1030,0,0,0,0,0,0,0,0,0,0
138,138,138,138,138,138,138,138,138,138,170,171,My manager at work who i really got on with resigned,951,1,0,0,0,0,0,0,0,0,0
139,139,139,139,139,139,139,139,139,139,171,172,"Abusive co-worker taking advantage of me, taking credit for my work and is sabotaging my completed work/controlling resources i need to do my work. ",912,0,0,0,0,0,0,0,0,0,0
140,140,140,140,140,140,140,140,140,140,172,173,Son got bit by a flea so there's the worry his mother will not allow him to come round the next time I'm due to have him.,920,1,0,0,0,0,0,0,0,0,0
141,141,141,141,141,141,141,141,141,141,173,174,A legal matter,930,0,0,0,0,0,0,0,0,0,0
142,142,142,142,142,142,142,142,142,142,174,175,Viewed a potential property but the pecks weren't as great,1042,0,0,0,0,0,0,0,0,0,0
143,143,143,143,143,143,143,143,143,143,176,177,I broke my finger playing sport,934,1,0,0,0,0,0,0,0,0,0
144,144,144,144,144,144,144,144,144,144,177,178,A surprised family visit ,1059,1,0,0,0,0,0,0,0,0,0
145,145,145,145,145,145,145,145,145,145,178,179,reconnecting with family member which was stressful but a nice surprise too. Its been on my mind for a long time so im glad it happened but its a lot to process ,1076,1,0,0,0,0,0,0,0,0,0
146,146,146,146,146,146,146,146,146,146,179,180,It was a job contract I was bidding for. I was surprised to get feedback 2 days ago because I thought it wouldn't be given to me since it was over 1 month since I bid for the contract.,1141,1,0,0,0,0,0,0,0,0,0
147,147,147,147,147,147,147,147,147,147,180,181,Trying to apply for a mortgage but having to jump over lots of hurdles to get to this point and so it is a relief when things start moving along again,1052,1,0,0,0,0,0,0,0,0,0
148,148,148,148,148,148,148,148,148,148,181,182,found out ive got a deadline in a few hours,930,0,0,0,0,0,0,0,0,0,0
149,149,149,149,149,149,149,149,149,149,182,183,Just bumped into two friends after dropping off my son at nursery. had a nice little humorous catch up,1087,0,0,0,0,0,0,0,0,0,0
150,150,150,150,150,150,150,150,150,150,183,184,I am in a relationship which is impacting my mood.,1025,0,0,0,0,0,0,0,0,0,0
151,151,151,151,151,151,151,151,151,151,184,185,I did not realise that i agreed to work an overtime shift,983,1,0,0,0,0,0,0,0,0,0
152,152,152,152,152,152,152,152,152,152,186,187,a boy I loved told me we can never see each other in person again,859,1,0,0,0,0,0,0,0,0,0
153,153,153,153,153,153,153,153,153,153,187,188,I lost money. I was going to use the money to move to Canada for my studies.,875,0,0,0,0,0,0,0,0,0,0
154,154,154,154,154,154,154,154,154,154,188,189,My grandad was taken to hospital with pre heart attack symptoms and a faulty pace maker which will need to be changed ,875,0,0,0,0,0,0,0,0,0,0
155,155,155,155,155,155,155,155,155,155,189,190,worrying about debts,942,0,0,0,0,0,0,0,0,0,0
156,156,156,156,156,156,156,156,156,156,190,191,adverse financial troubles,875,0,0,0,0,0,0,0,0,0,0
157,157,157,157,157,157,157,157,157,157,191,192,Losing my job.,875,0,0,0,0,0,0,0,0,0,0
158,158,158,158,158,158,158,158,158,158,193,194,I was expecting some amount of money from my brother. he then sent it yesterday which lightened up my mood.,1125,0,0,0,0,0,0,0,0,0,0
159,159,159,159,159,159,159,159,159,159,194,195,Partner had a serious health problem ,891,1,0,0,0,0,0,0,0,0,0
160,160,160,160,160,160,160,160,160,160,195,196,"I found out yesterday that my grandad really isn't well and has gone into hospital, my gran rang me yesterday in tears & told me I needed to see him before he passes away.",955,0,0,0,0,0,0,0,0,0,0
161,161,161,161,161,161,161,161,161,161,196,197,I found out that an event I am looking forward to attending might not be going ahead,940,0,0,0,0,0,0,0,0,0,0
162,162,162,162,162,162,162,162,162,162,197,198,"I received an unjust complaint from my manager, to which I respond accordingly and they have since not decided to respond",935,0,0,0,0,0,0,0,0,0,0
163,163,163,163,163,163,163,163,163,163,198,199,"I have been told after being informed previously that I would get childcare for free, but now have been told I will get a bill for the next 3 months and have to pay the full amount. When I cannot financially afford to do so",828,3,0,0,0,0,0,0,0,0,0
164,164,164,164,164,164,164,164,164,164,199,200,"Right now I am feeling significantly sad, I just received a message from my wife that she has been relieved of her job. This has completely soured my day",886,1,0,0,0,0,0,0,0,0,0
165,165,165,165,165,165,165,165,165,165,200,201,it was a work related incident and my boss was a bit disappointed in me ,1105,1,0,0,0,0,0,0,0,0,0
166,166,166,166,166,166,166,166,166,166,201,202,Passing of a grandparent,876,1,0,0,0,0,0,0,0,0,0
167,167,167,167,167,167,167,167,167,167,202,203,"I recently started working and not happy with my job, also struggling with issues related to my home and other small inconveniences happening which I cannot tolerate.",949,1,0,0,0,0,0,0,0,0,0
168,168,168,168,168,168,168,168,168,168,203,204,There was an unfortunate unpleasant accident with one of my machines with no insurance policy. Now I have lost the machine due to the high damage caused by the incident.,1117,0,0,0,0,0,0,0,0,0,0
169,169,169,169,169,169,169,169,169,169,204,205,My teenage brother got diagnosed with chronic myeloid leukaemia ,888,3,0,0,0,0,0,0,0,0,0
170,170,170,170,170,170,170,170,170,170,205,206,My wife recently lost her job and I am finding it very difficult to provide the needs of my family,882,0,0,0,0,0,0,0,0,0,0
171,171,171,171,171,171,171,171,171,171,206,207,"Someone I care about surprisingly said something awful about me. I confided in her about everything. I didn't expect her to stab me in the back, but I guess people change.",932,0,0,0,0,0,0,0,0,0,0
172,172,172,172,172,172,172,172,172,172,207,208,Issues around my job's contract and not knowing whether I will have a job or not.,997,1,0,0,0,0,0,0,0,0,0
173,173,173,173,173,173,173,173,173,173,209,210,The results of my performance came out and I did extremely well.,1087,0,0,0,0,0,0,0,0,0,0
174,174,174,174,174,174,174,174,174,174,210,211,I found another woman's clothes in my boyfriend's bag and don't know whose they are or where they came from,1000,2,0,0,0,0,0,0,0,0,0
175,175,175,175,175,175,175,175,175,175,211,212,a break up in my relationship,949,1,0,0,0,0,0,0,0,0,0
176,176,176,176,176,176,176,176,176,176,212,213,unexpectedly saw some traumatic and graphic images of people,938,1,0,0,0,0,0,0,0,0,0
177,177,177,177,177,177,177,177,177,177,213,214,"Having the urge to bet on this match to try and make a little bit of money, because it's been a hard month. But I lost the bet",882,0,0,0,0,0,0,0,0,0,0
178,178,178,178,178,178,178,178,178,178,214,215,Feeling calm.,1072,0,0,0,0,0,0,0,0,0,0
179,179,179,179,179,179,179,179,179,179,215,216,"When the exam, is on the time limit, there is so much stress then ",1110,0,0,0,0,0,0,0,0,0,0
180,180,180,180,180,180,180,180,180,180,216,217,I had a little argument with my manager that I felt was quite hostile for how small the issue was,917,0,0,0,0,0,0,0,0,0,0
